ccdc_id,Calc. Density,Cell Volume,CHIRAL SMILES,Space Gp. Number
NPASPG,1.629,607.648,NC(=O)C[C@H](C(=O)O)Nc1ccc(cc1N(=O)=O)N(=O)=O,4
NPBDXY,1.572,1145.767,O[C@H]1[C@@H](OC[C@H]([C@@H]1O)O)Oc1ccc(cc1)N(=O)=O,19
NPBDXY01,1.565,1150.891,O[C@H]1[C@@H](OC[C@H]([C@@H]1O)O)Oc1ccc(cc1)N(=O)=O,19
NPBUDO,1.409,976.693,CC(=O)C=C(O)c1ccc(cc1)N(=O)=O,19
NPBUDY,1.443,1345.672,O=N(=O)c1ccc(cc1)C#CC#Cc1ccc(cc1)N(=O)=O,141
NPCMPZ,1.263,1784.711,COC([C@@]1(c2ccccc2)N=N[C@H](C)[C@H]1c3ccc(N(=O)=O)cc3)=O,14
NPCPMK,1.301,1047.348,CC(=O)[C@H]1C[C@@H]1c1ccc(cc1)N(=O)=O,14
NPGLPN,1.415,2413.871,CC(=O)OC[C@H]1O[C@H](Oc2ccc(cc2N(=O)=O)N(=O)=O)[C@@H]([C@H]([C@@H]1OC(=O)C)OC(=O)C)OC(=O)C,19
NPHDZA,1.264,1088.571,CC/C(=N/Nc1ccc(cc1)N(=O)=O)/C,14
NPHDZB,1.464,1081.066,CC/C=N/Nc1ccc(cc1N(=O)=O)N(=O)=O,14
NPHDZB01,1.455,1087.481,CC/C=N/Nc1ccc(cc1N(=O)=O)N(=O)=O,14
NPHOAC,1.594,410.795,OC(=O)COc1ccc(cc1)N(=O)=O,2
NPHOAC01,1.562,419.141,OC(=O)COc1ccc(cc1)N(=O)=O,2
NPHOPN,1.354,4614.853,CC(C)(c1ccc(Oc2ccc(cc2)N(=O)=O)cc1)c1ccc(Oc2ccc(cc2)N(=O)=O)cc1,61
NPHOPN01,1.373,4550.802,CC(C)(c1ccc(Oc2ccc(cc2)N(=O)=O)cc1)c1ccc(Oc2ccc(cc2)N(=O)=O)cc1,61
NPHYAC,1.328,1932.584,CC(C)=NNc1cccc(c1)N(=O)=O,15
NPHYAC01,1.375,1866.913,CC(C)=NNc1cccc(c1)N(=O)=O,15
NPIMPY,1.531,1237.503,O=N(=O)c1ccc(N2C=Nc3ncccc23)c(c1)N(=O)=O,14
