ccdc_id,CHIRAL SMILES
ABENAX,COC(=O)c1cc(cc(c1O)N(=O)=O)N(=O)=O
ABENUQ,OC[C@H]1O[C@@H]([C@H]([C@@H]1O)O)N1C=CN=C1N(=O)=O
ABEPON,CCN1c2ccc(cc2c2cc(C)cc(c12)N(=O)=O)N(=O)=O
ABEQAD,Cc1ccc(cc1)C1=C(C(=O)Oc2ccccc12)N(=O)=O
ABEQIK,O=C(N1[C@H]2CCCC[C@@]1(C2)c1ccccc1c1ccc(cc1)N(=O)=O)c1ccccn1
ABEQOR,COc1ccc2OC(=O)C(=C(c3ccccc3)c2c1)N(=O)=O
ABICUJ,C[C@@H]1[C@H](CCc2ccccc2)O[C@@H]([C@H]1OC(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O)COC(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O
ABIGUQ,COC(=O)/C(=C/C)/NC(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O
ABIHAX,CC(/C=C(/C(=O)N(C)C)\NC(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O)C
ABITOX,CCOC(=O)C([C@@H]1C(=O)N(C[C@H]1[C@@H](c1cccc(c1)N(=O)=O)ON1N=Nc2c1cccc2)CC1CCCCC1)C(=O)OCC
ABOFIH,COc1ccc(cc1[C@H]1N(O[C@H]([C@@H]1N(=O)=O)c1ccccc1)c1ccccc1)C(C)(C)C
ABOFON,COc1ccc(cc1[C@H]1N(O[C@H]([C@@H]1N(=O)=O)c1ccccc1OC)c1ccccc1)C(CC)(C)C
ABORIS,CC([C@H]1CC[C@@]23[C@]1(C)C[C@@H](O2)CC/C/3=N\Nc1ccc(cc1N(=O)=O)N(=O)=O)C
ABOVUM,COC(=O)C1=C(C)NC(=O)N[C@@H]1c1ccc(cc1)N(=O)=O
ABOVUM01,COC(=O)C1=C(C)NC(=O)N[C@H]1c1ccc(cc1)N(=O)=O
ABUCEJ,Cc1cccc(Oc2ccccc2N(=O)=O)c1Oc1ccccc1N(=O)=O
ABURIY,O=C(c1ccc(cc1)N(=O)=O)OC[C@@H]1/C=C/C/C=C\CC/C=C/CC1
ABUSIC,COc1ccc(CN2c3ccc(cc3C(=O)C(=C2c2ccc(C)cc2)c2cc(C)cc(C)c2)N(=O)=O)cc1
ABUVOJ,CCN(c1ccc(c(c1)O)/C=N/c1ccc(cc1)N(=O)=O)CC
ACALAR,O=C(Nc1ccccc1)c1ccc(cc1)N(=O)=O
ACALEV,Cc1cccc(C)c1NC(=O)c1ccc(cc1)N(=O)=O
ACALIZ,CCc1cccc(CC)c1NC(=O)c1ccc(cc1)N(=O)=O
ACALOF,CC(C)c1cccc(C(C)C)c1NC(=O)c1ccc(cc1)N(=O)=O
ACALUL,CC(C)(C)c1ccc(cc1)C(=O)Nc1ccc(cc1)N(=O)=O
ACAMEW,Cc1cc(cc(C)c1NC(=O)c1ccc(cc1)C(C)(C)C)N(=O)=O
ACAMIA,CCc1cc(cc(CC)c1NC(=O)c1ccc(cc1)C(C)(C)C)N(=O)=O
ACANIB,CC(C)c1cc(cc(C(C)C)c1NC(=O)c1ccc(cc1)N(C)C)N(=O)=O
ACEDOE,COc1c2OCCOc2ccc1N(=O)=O
ACEMUR,O=N(=O)c1cc(ccc1N/N=C/c1ccc2c(c1)OCO2)N(=O)=O
ACENUS,O=N(=O)c1ccc(cc1)O[C@H]1CCCCO1
ACEREG,CC1=CC(=O)N(CC(=O)c2cccc(c2)N(=O)=O)C2=C1CCCC2
ACERIK,O=N(=O)c1ccc(cc1)N/N=C/c1ccccc1N(=O)=O
ACERIK01,O=N(=O)c1ccc(cc1)N/N=C/c1ccccc1N(=O)=O
ACETUA,CC(C)Oc1c(OC(C)=O)c(ccc1N(=O)=O)C(O)=O
ACEZAK,Cc1cccc(C)c1NC(=O)CN1CCN(CC1)CC1=NC(=NO1)c1ccc(cc1)N(=O)=O
ACIDAR,O=N(=O)c1ccccc1N/N=C/1\C=CC(=O)c2c1cccc2
ACISAI,O=N(=O)C1=CN(Cc2ccc(CN3C=C(C=N3)N(=O)=O)cc2)N=C1
ACISAI01,O=N(=O)C1=CN(Cc2ccc(CN3C=C(C=N3)N(=O)=O)cc2)N=C1
ACNFRL,CC(=O)O[C@]1(C=C[C@@H](O1)N(=O)=O)C(OC(=O)C)OC(=O)C
ACNPHY,CC(C)=NNc1ccc(cc1)N(=O)=O
ACNPHY01,CC(C)=NNc1ccc(cc1)N(=O)=O
ACNTBP,CC(=O)c1ccc(cc1)c1ccccc1N(=O)=O
ACOFOQ,CCCCCOc1cc(C#C)c(cc1OCCCCC)N(=O)=O
ACOTIY,CCCCOc1cc(C#C)c(cc1OCCCC)N(=O)=O
ACOWIY,O=N(=O)C1(CNC1)N(=O)=O
ACOWOE,O=CN1CC(C1)(N(=O)=O)N(=O)=O
ACOWUK,O=C(N1CC(C1)(N(=O)=O)N(=O)=O)N1CC(C1)(N(=O)=O)N(=O)=O
ACUMET,CNc1c2CCCCCCCCc1cc(c2)N(=O)=O
ACUNAO,CCCc1c2Oc3cc(Oc4cccc(Oc5cc(Oc1ccc2)c(cc5N(=O)=O)N(=O)=O)c4CCC)c(cc3N(=O)=O)N(=O)=O
ACUPEV,COc1ccc(cc1)/C=C/1\OC(=Nc2c1cccc2)c1ccc(cc1)N(=O)=O
ADACIT,C=C[C@]1(COC([C@@]1([C@@H](CC#CC)OC(c2ccc(N(=O)=O)cc2)=O)O)=O)C
ADADUG,Cc1cc(cc2c1/C(=C/1\C3=CC=CN3c3c1cccc3)/CCC2)N(=O)=O
ADAMEY,O=C1N(c2ccccc2)N(C(=C1/N=C/c1ccccc1N(=O)=O)C)C
ADAMIB,COc1ccc(c(c1)[C@@]1(CCN(C1)C)C(=O)O[C@H]1CCCC[C@@H]1c1ccccc1)N(=O)=O
ADANID,O=C1c2ccccc2C(CCCC2(c3ccccc3C(=O)c3ccccc23)N(=O)=O)(c2ccccc12)N(=O)=O
ADAVIL,CCOc1ccc(cc1)/N=C/C=C/c1ccccc1N(=O)=O
ADAXIN,Cc1cccc(C(=O)Nc2ccccc2NC(=O)c2cccc(C)c2N(=O)=O)c1N(=O)=O
ADEQIK,O=C1c2ccccc2C(CCCCC2(c3ccccc3C(=O)c3ccccc23)N(=O)=O)(c2ccccc12)N(=O)=O
ADEWEM,C/C(=N\Nc1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O)/c1ccccc1
ADEWOW,Oc1ccc(cc1/C=N/NC(=O)c1ccccc1O)N(=O)=O
ADEZUF,OCC(CO)N(=O)=O
ADIDUN,CCC1=NN(C)C(=C1N(=O)=O)C(=O)N1C=Nc2ccccc12
ADIFEA,COC(=O)C1=C(N=NN1Cc1ccccc1)c1c(cccc1N(=O)=O)c1ccccc1
ADINAE,C[C@@H](C/C(=C\OC(=O)c1ccc(cc1)N(=O)=O)/C)/C=C/C(=O)N1C(=O)OC[C@@H]1Cc1ccccc1
ADINIL,CCCc1c2Oc3cc(Oc4cccc(Oc5cc(Oc1ccc2)c(cc5N(=O)=O)N(=O)=O)c4CCC)c(cc3N(=O)=O)N(=O)=O
